start_station_id,start_station_name,gbfs_name,gbfs_id
5687.04,MacDougal St & Prince St,MacDougal St & Prince St,66db2afe-0aca-11e7-82f6-3863bb44ef7c
5602.06,Greene St & Prince St,Greene St & Prince St,53e30d38-a110-42b4-a8f9-ca801a847ac7
4781.05,Nassau St & Duffield St,Nassau St & Duffield St,f8c1c90f-4ec0-44bd-b097-cfafc887744d
6307.07,61 St & 39 Ave,61 St & 39 Ave,72719900-dd61-40bd-9f4a-40d70c47590c
7020.02,E 77 St & 1 Ave,E 77 St & 1 Ave,14391923-6727-4359-92e9-03e0b5094753
6551.16,E 46 St & Madison Ave,E 46 St & Madison Ave,1903998756008763590
4016.03,Kingston Ave & Park Pl,Kingston Ave & Park Pl,1d167807-0aa8-413a-b7a0-01c2ca8a6a60
5114.08,South End Ave & Albany St,South End Ave & Albany St,1794096824496960148
7186.15,19 St & 24 Ave,19 St & 24 Ave,3e1bdcec-e762-4e83-b447-007f05923cce
4334.02,Halsey St & Ralph Ave,Halsey St & Ralph Ave,7f3aa940-18ef-4900-89dc-cdb05f693f31
5797.01,MacDougal St & Washington Sq,MacDougal St & Washington Sq,66db41bf-0aca-11e7-82f6-3863bb44ef7c
5788.12,E 12 St & 3 Ave,E 12 St & 3 Ave,66dc481a-0aca-11e7-82f6-3863bb44ef7c
6257.06,W 27 St & 7 Ave,W 27 St & 7 Ave,1960021358478625244
5382.07,Forsyth St & Grand St,Forsyth St & Grand St,9e3603ee-2b7d-4147-a7b5-48bbd778902c
4903.09,Dock St & Front St,Dock St & Front St,afd76a0e-ceb8-4d18-a427-b378c4d07a75
4895.03,Front St & Jay St,Front St & Jay St,9505c2b7-0c3a-4791-8471-d2092a86291f
5442.05,Bayard St & Leonard St,Bayard St & Leonard St,66dea4bf-0aca-11e7-82f6-3863bb44ef7c
7756.10,St Nicholas Ave & W 126 St,St Nicholas Ave & W 126 St,dd8627c8-4190-4a30-8758-e77a7b010437
2984.04,Cortelyou Rd & Argyle Rd,Cortelyou Rd & Argyle Rd,1814907277023901890
5303.06,Clinton St & Grand St,Clinton St & Grand St,66dbc420-0aca-11e7-82f6-3863bb44ef7c
5721.14,LaGuardia Pl & W 3 St,LaGuardia Pl & W 3 St,66db3273-0aca-11e7-82f6-3863bb44ef7c
6157.04,10 Ave & W 14 St,10 Ave & W 14 St,116dbc02-a3c1-4b65-9f73-2a09a2aa1379
4931.05,Wyckoff Ave & Stanhope St,Wyckoff Ave & Stanhope St,f6cf3ecc-b3ad-4291-8c24-277f28f64ba1
6233.05,W 16 St & The High Line,W 16 St & The High Line,66db3606-0aca-11e7-82f6-3863bb44ef7c
7504.18,E 106 St & Lexington Ave,E 106 St & Lexington Ave,66de677e-0aca-11e7-82f6-3863bb44ef7c
7511.19,5 Ave & E 103 St,5 Ave & E 103 St,66de2131-0aca-11e7-82f6-3863bb44ef7c
6425.04,11 Ave & W 27 St,11 Ave & W 27 St,66dc22a7-0aca-11e7-82f6-3863bb44ef7c
4208.01,Sterling Pl & 5 Ave,Sterling Pl & 5 Ave,27c71510-d515-4add-b660-6efd6f225cd1
7567.06,Lexington Ave & E 111 St,Lexington Ave & E 111 St,c05cd2e2-74e8-4526-a62b-d631e005fdd8
5140.06,Bushwick Ave & Stagg St,Bushwick Ave & Stagg St,e35c42c6-8b73-4528-b08d-c94b75624b40
4965.01,Lorimer St & Broadway,Lorimer St & Broadway,66dce4fc-0aca-11e7-82f6-3863bb44ef7c
6339.06,W 25 St & 9 Ave,W 25 St & 9 Ave,39f756c2-3904-463e-95a8-8d8e3540e845
4060.09,Carroll St & 5 Ave,Carroll St & 5 Ave,66de1fe7-0aca-11e7-82f6-3863bb44ef7c
5291.05,Graham Ave & Conselyea St,Graham Ave & Conselyea St,66dcf897-0aca-11e7-82f6-3863bb44ef7c
3914.02,7 St & 5 Ave,7 St & 5 Ave,66de5005-0aca-11e7-82f6-3863bb44ef7c
4519.04,Kosciuszko St & Nostrand Ave,Kosciuszko St & Nostrand Ave,66dcc3e5-0aca-11e7-82f6-3863bb44ef7c
4214.04,Verona Pl & Fulton St,Verona Pl & Fulton St,1859088223746072684
5616.08,E 12 St & Ave C,E 12 St & Ave C,3ac7b47b-2253-4a0b-bf7d-8a2eb6b78a38
6492.08,9 Ave & W 33 St,9 Ave & W 33 St,1869743938848725856
6224.03,W 22 St & 8 Ave,W 22 St & 8 Ave,66dc209c-0aca-11e7-82f6-3863bb44ef7c
6278.05,Davis St & Jackson Ave,Davis St & Jackson Ave,1882736243099681438
3431.02,New York Ave & Lenox Rd,New York Ave & Lenox Rd,1814900752968579218
8362.02,Walton Ave & E 176 St,Walton Ave & E 176 St,1b985e4b-88de-42a8-95be-dce37dbbc5c5
5207.01,Centre St & Chambers St,Centre St & Chambers St,66dbe8d6-0aca-11e7-82f6-3863bb44ef7c
7872.03,Lenox Ave & W 140 St,Lenox Ave & W 140 St,bd1760ad-3af3-4ede-9bd7-c8fbf46d7192
5679.08,Bleecker St & Crosby St,Bleecker St & Crosby St,412c1416-d15b-4e6a-9691-da4c3cc0d0d2
3710.07,Lefferts Ave & Schenectady Ave,Lefferts Ave & Schenectady Ave,8b830188-101e-44bf-a755-5e6c611e3edc
4637.06,Fulton St & Adams St,Fulton St & Adams St,66de88d7-0aca-11e7-82f6-3863bb44ef7c
6904.06,5 Ave & E 63 St,5 Ave & E 63 St,66dd4051-0aca-11e7-82f6-3863bb44ef7c
5422.09,Lafayette St & Grand St,Lafayette St & Grand St,f54ad1f8-fe58-49ac-82ae-b742aec66829
6185.07,33 St & Queens Blvd,33 St & Queens Blvd,d33261e6-600e-4756-ad03-a9facbd8ace1
4392.04,Putnam Ave & Throop Ave,Putnam Ave & Throop Ave,66dcbf69-0aca-11e7-82f6-3863bb44ef7c
4718.08,Pierrepont St & Monroe Pl,Pierrepont St & Monroe Pl,78e93937-53d1-4c9b-99ad-0460f908ed2d
4689.08,Stuyvesant Ave & Hart St,Stuyvesant Ave & Hart St,b9deb521-41b6-4f8a-ac78-0e58e3977f2c
5922.04,Greenwich St & Perry St,Greenwich St & Perry St,7e70b65e-00c1-40d5-984d-17232a4ee05e
5470.13,Hudson St & N Moore St,Hudson St & N Moore St,fa14408f-6e88-4668-86ee-ce10ea707f36
4513.09,Ashland Pl & Dekalb Ave,Ashland Pl & Dekalb Ave,1ecc9936-ee0c-44b2-baa8-237564c8e4fd
4528.01,DeKalb Ave & Franklin Ave,DeKalb Ave & Franklin Ave,a35d03cf-bd72-4da4-a4ac-bd25b3f8dce3
4687.03,Cypress Ave & St Felix Ave,Cypress Ave & St Felix Ave,36edabac-a0c2-471b-abaf-73fdb53a4e5f
6611.02,W 37 St & 10 Ave,W 37 St & 10 Ave,66dc1d80-0aca-11e7-82f6-3863bb44ef7c
5340.01,N 7 St & Driggs Ave,N 7 St & Driggs Ave,1786698974100683436
4729.01,Myrtle Ave & Lewis Ave,Myrtle Ave & Lewis Ave,66dccad8-0aca-11e7-82f6-3863bb44ef7c
5964.01,Bank St & Washington St,Bank St & Washington St,66db3cab-0aca-11e7-82f6-3863bb44ef7c
6809.07,W 56 St & 6 Ave,W 56 St & 6 Ave,66dbc551-0aca-11e7-82f6-3863bb44ef7c
5989.02,W 15 St & 6 Ave,W 15 St & 6 Ave,09dfc0e3-a448-477c-bb3c-9467dc51ef8d
7284.01,21 Ave & Crescent St,21 Ave & Crescent St,8c6cba48-d803-4a90-99f7-e06edcdbbf92
5219.05,Manhattan Ave & Devoe St,Manhattan Ave & Devoe St,1786697932047949952
5997.10,W 12 St & Hudson St,W 12 St & Hudson St,29ced315-14b5-4edc-bef2-665316dfe3dd
5359.12,Duane St & Hudson St,Duane St & Hudson St,1b038e21-e199-4c47-bef0-f4bcdc06b73b
5755.14,University Pl & E 8 St,University Pl & E 8 St,66ddb6d9-0aca-11e7-82f6-3863bb44ef7c
6578.01,W 34 St & 11 Ave,W 34 St & 11 Ave,66dc8382-0aca-11e7-82f6-3863bb44ef7c
6019.04,Ash St & Manhattan Ave,Ash St & Manhattan Ave,1786686999403592506
5721.01,Sullivan St & Washington Sq,Sullivan St & Washington Sq,66db9845-0aca-11e7-82f6-3863bb44ef7c
6432.09,Park Ave & E 42 St,Park Ave & E 42 St,66dc8025-0aca-11e7-82f6-3863bb44ef7c
5308.04,Metropolitan Ave & Bedford Ave,Metropolitan Ave & Bedford Ave,66dc8b6a-0aca-11e7-82f6-3863bb44ef7c
7443.01,Madison Ave & E 99 St,Madison Ave & E 99 St,66de13dc-0aca-11e7-82f6-3863bb44ef7c
7650.05,West End Ave & W 107 St,West End Ave & W 107 St,66de20c8-0aca-11e7-82f6-3863bb44ef7c
6771.13,W 54 St & 6 Ave,W 54 St & 6 Ave,1791472201147965920
6626.01,E 48 St & 5 Ave,E 48 St & 5 Ave,66dd9fa6-0aca-11e7-82f6-3863bb44ef7c
5659.11,E 11 St & Ave B,E 11 St & Ave B,99d149f9-ad40-461e-beea-fcbf086f9b5a
3704.01,Washington Ave & Empire Blvd,Washington Ave & Empire Blvd,56b3ca32-104a-4920-a879-a97a820858c4
6257.03,W 24 St & 7 Ave,W 24 St & 7 Ave,66dc1c5c-0aca-11e7-82f6-3863bb44ef7c
6877.06,25 Ave & 96 St,25 Ave & 96 St,1835247469495105628
4339.01,Butler St & Court St,Butler St & Court St,66dde914-0aca-11e7-82f6-3863bb44ef7c
3011.03,59 St & 4 Ave,59 St & 4 Ave,178bad16-1b02-4264-94c0-a8fd0faa60fe
5854.09,1 Ave & E 18 St,1 Ave & E 18 St,66dc8f1f-0aca-11e7-82f6-3863bb44ef7c
6651.01,104 St & Northern Blvd,104 St & Northern Blvd,1828969851041055492
3538.09,11 Ave & Prospect Ave,11 Ave & Prospect Ave,3f031133-ec95-4a92-9d63-2ae28183f498
4479.10,Schermerhorn St & Hoyt St,Schermerhorn St & Hoyt St,a1acdab2-29c7-4956-8b2e-24b39dc2ff13
3229.07,E 48 St & Tilden Ave,E 48 St & Tilden Ave,1815968345907104578
